[INFO ] [2022-03-03 00:46:49,353] Pre-Condition - Step 01: Click to Sign Up button
[INFO ] [2022-03-03 00:46:50,015] Pre-Condition - Step 02: Enter to Email textbox
[INFO ] [2022-03-03 00:46:50,453] Pre-Condition - Step 03: Enter to Password textbox
[INFO ] [2022-03-03 00:46:50,837] Pre-Condition - Step 04: Select I am a Buyer value
[INFO ] [2022-03-03 00:46:51,141] Pre-Condition - Step 05: Click to Login button
[INFO ] [2022-03-03 00:46:51,444] Pre-Condition - Step 06: Verify the Pop popup is displayed
[INFO ] [2022-03-03 00:46:52,871] Pre-Condition - Step 07: Click on X button to close popup
[INFO ] [2022-03-03 00:47:03,165] Home Page - Step 01: Enter product named 'Product exam1' into search textbox
[INFO ] [2022-03-03 00:47:03,808] Home Page - Step 02: Click on search icon
[INFO ] [2022-03-03 00:47:04,008] Home Page - Step 03: Verify the results search is displayed
[INFO ] [2022-03-03 00:47:04,701] Home Page - Step 04: Click on Add to cart icon
[INFO ] [2022-03-03 00:47:04,847] Home Page - Step 05: Verify the add to cart popup is displayed
[INFO ] [2022-03-03 00:47:04,969] Home Page - Step 06: Enter quantity
[INFO ] [2022-03-03 00:47:05,879] Home Page - Step 07: Click on Add to Cart in Modal Dialog
[INFO ] [2022-03-03 00:47:06,375] OS name = mac os x
[INFO ] [2022-03-03 00:47:06,718] ---------- QUIT BROWSER SUCCESS ----------
[INFO ] [2022-03-03 11:14:51,506] Pre-Condition - Step 01: Click to Sign Up button
[INFO ] [2022-03-03 11:14:52,160] Pre-Condition - Step 02: Enter to Email textbox
[INFO ] [2022-03-03 11:14:52,752] Pre-Condition - Step 03: Enter to Password textbox
[INFO ] [2022-03-03 11:14:53,054] Pre-Condition - Step 04: Select I am a Buyer value
[INFO ] [2022-03-03 11:14:53,206] Pre-Condition - Step 05: Click to Login button
[INFO ] [2022-03-03 11:14:53,453] Pre-Condition - Step 06: Verify the Pop popup is displayed
[INFO ] [2022-03-03 11:14:55,013] Pre-Condition - Step 07: Click on X button to close popup
[INFO ] [2022-03-03 11:15:05,377] Home Page - Step 01: Enter product named 'Product exam1' into search textbox
[INFO ] [2022-03-03 11:15:05,923] Home Page - Step 02: Click on search icon
[INFO ] [2022-03-03 11:15:06,113] Home Page - Step 03: Verify the results search is displayed
[INFO ] [2022-03-03 11:15:07,245] Home Page - Step 04: Click on Add to cart icon
[INFO ] [2022-03-03 11:15:07,394] Home Page - Step 05: Verify the add to cart popup is displayed
[INFO ] [2022-03-03 11:15:07,607] Home Page - Step 06: Enter quantity
[INFO ] [2022-03-03 11:15:08,570] Home Page - Step 07: Click on Add to Cart in Modal Dialog
[INFO ] [2022-03-03 11:15:08,736] Home Page - Step 08: Verify the notification of adding to cart successfully
[INFO ] [2022-03-03 11:15:09,576] Home Page - Step 09: Click on X icon
[INFO ] [2022-03-03 11:15:15,057] Home Page - Step 01: Hover to Cart icon
[INFO ] [2022-03-03 11:15:15,228] Home Page - Step 02: the cart popper is displayed normally
[INFO ] [2022-03-03 11:15:15,312] Home Page - Step 03: Verify order value displayed
[INFO ] [2022-03-03 11:15:15,396] OS name = mac os x
[INFO ] [2022-03-03 11:15:15,794] ---------- QUIT BROWSER SUCCESS ----------
[INFO ] [2022-03-03 11:18:52,264] Pre-Condition - Step 01: Click to Sign Up button
[INFO ] [2022-03-03 11:18:53,103] Pre-Condition - Step 02: Enter to Email textbox
[INFO ] [2022-03-03 11:18:53,629] Pre-Condition - Step 03: Enter to Password textbox
[INFO ] [2022-03-03 11:18:53,832] Pre-Condition - Step 04: Select I am a Buyer value
[INFO ] [2022-03-03 11:18:53,990] Pre-Condition - Step 05: Click to Login button
[INFO ] [2022-03-03 11:18:54,188] Pre-Condition - Step 06: Verify the Pop popup is displayed
[INFO ] [2022-03-03 11:18:55,428] Pre-Condition - Step 07: Click on X button to close popup
[INFO ] [2022-03-03 11:19:05,729] Home Page - Step 01: Enter product named 'Product exam1' into search textbox
[INFO ] [2022-03-03 11:19:06,211] Home Page - Step 02: Click on search icon
[INFO ] [2022-03-03 11:19:06,373] Home Page - Step 03: Verify the results search is displayed
[INFO ] [2022-03-03 11:19:14,984] Home Page - Step 04: Click on Add to cart icon
[INFO ] [2022-03-03 11:19:15,135] Home Page - Step 05: Verify the add to cart popup is displayed
[INFO ] [2022-03-03 11:19:15,240] Home Page - Step 06: Enter quantity
[INFO ] [2022-03-03 11:19:16,296] Home Page - Step 07: Click on Add to Cart in Modal Dialog
[INFO ] [2022-03-03 11:19:16,436] Home Page - Step 08: Verify the notification of adding to cart successfully
[INFO ] [2022-03-03 11:19:17,660] Home Page - Step 09: Click on X icon
[INFO ] [2022-03-03 11:19:23,098] Home Page - Step 01: Hover to Cart icon
[INFO ] [2022-03-03 11:19:23,268] Home Page - Step 02: the cart popper is displayed normally
[INFO ] [2022-03-03 11:19:23,335] Home Page - Step 03: Verify order value displayed
[INFO ] [2022-03-03 11:20:23,459] Pre-Condition - Step 01: Click to Sign Up button
[INFO ] [2022-03-03 11:20:24,047] Pre-Condition - Step 02: Enter to Email textbox
[INFO ] [2022-03-03 11:20:24,436] Pre-Condition - Step 03: Enter to Password textbox
[INFO ] [2022-03-03 11:20:24,662] Pre-Condition - Step 04: Select I am a Buyer value
[INFO ] [2022-03-03 11:20:24,767] Pre-Condition - Step 05: Click to Login button
[INFO ] [2022-03-03 11:20:24,935] Pre-Condition - Step 06: Verify the Pop popup is displayed
[INFO ] [2022-03-03 11:20:26,396] Pre-Condition - Step 07: Click on X button to close popup
[INFO ] [2022-03-03 11:20:36,710] Home Page - Step 01: Enter product named 'Product exam1' into search textbox
[INFO ] [2022-03-03 11:20:37,170] Home Page - Step 02: Click on search icon
[INFO ] [2022-03-03 11:20:37,329] Home Page - Step 03: Verify the results search is displayed
[INFO ] [2022-03-03 11:20:38,065] Home Page - Step 04: Click on Add to cart icon
[INFO ] [2022-03-03 11:20:38,191] Home Page - Step 05: Verify the add to cart popup is displayed
[INFO ] [2022-03-03 11:20:38,316] Home Page - Step 06: Enter quantity
[INFO ] [2022-03-03 11:20:39,459] Home Page - Step 07: Click on Add to Cart in Modal Dialog
[INFO ] [2022-03-03 11:20:39,596] Home Page - Step 08: Verify the notification of adding to cart successfully
[INFO ] [2022-03-03 11:20:40,362] Home Page - Step 09: Click on X icon
[INFO ] [2022-03-03 11:20:45,732] Home Page - Step 01: Hover to Cart icon
[INFO ] [2022-03-03 11:20:45,904] Home Page - Step 02: the cart popper is displayed normally
[INFO ] [2022-03-03 11:20:45,964] Home Page - Step 03: Verify order value displayed
[INFO ] [2022-03-03 15:23:55,855] Pre-Condition - Step 01: Click to Sign Up button
[INFO ] [2022-03-03 15:23:56,508] Pre-Condition - Step 02: Enter to Email textbox
[INFO ] [2022-03-03 15:23:57,220] Pre-Condition - Step 03: Enter to Password textbox
[INFO ] [2022-03-03 15:23:57,555] Pre-Condition - Step 04: Select I am a Buyer value
[INFO ] [2022-03-03 15:23:57,857] Pre-Condition - Step 05: Click to Login button
[INFO ] [2022-03-03 15:23:58,026] Pre-Condition - Step 06: Verify the Pop popup is displayed
[INFO ] [2022-03-03 15:23:59,304] Pre-Condition - Step 07: Click on X button to close popup
[INFO ] [2022-03-03 15:24:09,634] Home Page - Step 01: Enter product named 'Product exam1' into search textbox
[INFO ] [2022-03-03 15:24:10,335] Home Page - Step 02: Click on search icon
[INFO ] [2022-03-03 15:24:10,553] Home Page - Step 03: Verify the results search is displayed
[INFO ] [2022-03-03 15:24:11,191] Home Page - Step 04: Click on Add to cart icon
[INFO ] [2022-03-03 15:24:11,376] Home Page - Step 05: Verify the add to cart popup is displayed
[INFO ] [2022-03-03 15:24:11,525] Home Page - Step 06: Enter quantity
[INFO ] [2022-03-03 15:24:12,809] Home Page - Step 07: Click on Add to Cart in Modal Dialog
[INFO ] [2022-03-03 15:24:12,986] Home Page - Step 08: Verify the notification of adding to cart successfully
[INFO ] [2022-03-03 15:24:13,866] Home Page - Step 09: Click on X icon
[INFO ] [2022-03-03 15:24:19,473] Home Page - Step 01: Hover to Cart icon
[INFO ] [2022-03-03 15:24:19,661] Home Page - Step 02: the cart popper is displayed normally
[INFO ] [2022-03-03 15:24:19,744] Home Page - Step 03: Verify order value displayed
[INFO ] [2022-03-03 15:25:10,733] Pre-Condition - Step 01: Click to Sign Up button
[INFO ] [2022-03-03 15:25:11,674] Pre-Condition - Step 02: Enter to Email textbox
[INFO ] [2022-03-03 15:25:12,308] Pre-Condition - Step 03: Enter to Password textbox
[INFO ] [2022-03-03 15:25:12,797] Pre-Condition - Step 04: Select I am a Buyer value
[INFO ] [2022-03-03 15:25:13,007] Pre-Condition - Step 05: Click to Login button
[INFO ] [2022-03-03 15:25:13,175] Pre-Condition - Step 06: Verify the Pop popup is displayed
[INFO ] [2022-03-03 15:25:14,743] Pre-Condition - Step 07: Click on X button to close popup
[INFO ] [2022-03-03 15:25:25,038] Home Page - Step 01: Enter product named 'Product exam1' into search textbox
[INFO ] [2022-03-03 15:25:25,677] Home Page - Step 02: Click on search icon
